동,X좌표,Y좌표
구의제2동,208363.3815,450139.4605
구의제2동,208369.6275,450146.8276
구의제2동,208424.2402,450170.2101
구의제2동,208367.5411,450046.3884
구의제2동,208356.4192,450050.8372
구의제2동,208371.9898,450047.6118
구의제2동,208090.1421,450037.9426
구의제2동,208075.4345,450051.1327
구의제2동,208069.0145,450056.6189
구의제2동,208065.396,450060.1207
구의제2동,208061.4273,450063.6225
구의제2동,208167.7655,450124.6707
구의제2동,208164.147,450127.8223
구의제2동,208158.1939,450133.5419
구의제2동,208110.8028,450127.4721
구의제2동,208081.3876,450094.205
구의제2동,208062.1276,450072.2603
구의제2동,208119.4015,450167.9649
구의제2동,208180.0219,450203.8116
구의제2동,208194.1458,450191.2051
구의제2동,208181.8063,450015.5809
구의제2동,208163.5665,449986.7754
구의제2동,208184.5868,450020.0297
구의제2동,208188.7019,450026.5916
구의제2동,208213.9484,450066.2965
구의제2동,208231.7434,450094.2124
구의제2동,208208.0539,450100.1069
구의제2동,208200.491,450108.0034
구의제2동,208318.7889,450030.7233
구의제2동,208302.4783,450024.8121
구의제2동,208297.3623,450024.3672
구의제2동,208307.0383,450026.1467
구의제2동,208322.734,450032.0384
구의제2동,208326.3361,450033.4678
구의제2동,208271.6708,450052.5054
구의제2동,208235.5248,450080.7549
구의제2동,208217.5074,450131.8042
구의제2동,208312.2655,450110.8951
구의제2동,208292.9135,450080.6437
구의제2동,208277.0194,450056.4131
구의제2동,208319.0409,450143.9777
구의제2동,208323.0537,450139.1446
구의제2동,208337.6233,450128.4676
구의제2동,208334.5092,450131.9154
구의제2동,208329.9493,450136.809
구의제2동,208312.0252,450158.1128
구의제2동,207919.604,450017.1652
구의제2동,207991.858,449979.6958
구의제2동,207989.6402,449985.0652
구의제2동,207985.6715,449996.3878
구의제2동,208063.1782,449969.6573
구의제2동,208024.6583,450030.1219
구의제2동,208042.9844,450051.2494
구의제2동,208017.7714,450022.6513
구의제2동,208141.5038,449810.4856
구의제2동,208279.4665,449739.3969
구의제2동,208283.9622,449736.8681
구의제2동,208294.6004,449730.8778
구의제2동,208300.3969,449727.2687
구의제2동,208305.5979,449724.0834
구의제2동,208119.5106,449922.1961
구의제2동,208142.7626,449908.3289
구의제2동,208159.2912,449897.5434
구의제2동,208163.036,449968.3389
구의제2동,208226.3858,449910.7102
구의제2동,208260.5635,449919.955
구의제2동,208268.4075,449922.1961
구의제2동,208296.7021,449929.6199
구의제2동,208300.4841,449932.8416
구의제2동,208303.9859,449936.2033
구의제2동,208308.048,449939.425
구의제2동,208318.8336,449948.9499
구의제2동,208323.0357,449952.4517
구의제2동,208193.0486,449880.5946
구의제2동,208199.2118,449860.004
구의제2동,208199.3863,449808.3783
구의제2동,208250.7248,449856.7709
구의제2동,208237.23,449898.1707
구의제2동,208310.8026,449805.9039
구의제2동,208314.1832,449833.9975
구의제2동,208313,449831
구의제2동,208305.8671,449869.0531
구의제2동,208305.2274,449883.3825
구의제2동,208291.097,449916.6336
구의제2동,208333.5557,449721.133
구의제2동,208322.1759,449719.5876
구의제2동,208338.4729,449722.1165
구의제2동,208343.3901,449722.8189
구의제2동,208355.7534,449725.4883
구의제2동,208360.5301,449726.4717
구의제2동,208365.5878,449727.3147
구의제2동,208383.2222,449742.8952
구의제2동,208381.8757,449749.3285
구의제2동,208379.1827,449760.6991
구의제2동,208374.5792,449801.4942
구의제2동,208375.7031,449810.9071
구의제2동,208396.0744,449834.2287
